objectid,filename,parentid,artist,title,place_of_creation,year_produced,edition_size,dimensions,expanded_dimensions,description,genre,process_technique,materials,structure_physical_format,enclosure,subject,use,holding_collection,object_location,format,file_size,file_date,rights,display_template,image_small,image_thumb
characters0001,,,"Oliver, ""Ollie"", Lily",Characters,"School of the Musuem of Fine Art, Boston, MA",2021,30,"5.5 x 8 x 0.75"" ",,"A twenty-four page photobook, printed on matte paper and bound with binder rings.
Includes character ""index"" on the last page. From the artist's statement: Started in 
spring of 2020, Characters, an ongoing series where I disguise myself as different 
exaggerated forms of my own identity, allows me to explore and catalog different 
aspects of my own gender and sexuality— posing as everyone from the brother 
I’ve never had, or could be, to a fisher, to a sort of disgraced Mary, ultimate symbol 
of maternity and innocence.

 

The creation of these characters has also become part of the work, as I shoot 
myself getting into character, and secretly make the images in my childhood home. 
Partial or incomplete costumes are essential, as the recognition of self is crucial in 
emphasizing the performance and indulgence of the photo and character— 
while also giving a nod to others in rural or inaccessible areas that must make 
due with what they’ve got to express themselves. The posturing and physicality 
that possesses me as I complete these disguises continues to be of interest and 
I consider this series to be limitless. 

",photo bookwork,digital printing; photography,machine-made paper; metal,loose sheets; soft cover,,gender identity; sexuality; performance; drag; photography; portraits; self portrait,artistic work,,/objects/characters0001.jpg,multiple,104 KB,2025-04-01,CC BY-NC,multiple,/objects/small/characters0001.jpg,/objects/thumbs/characters0001.jpg
characters0002,characters0001.jpg,characters0001,,Characters 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
characters0003,characters0002.jpg,characters0001,,Characters 2,,,,,,,,,,,,,,,/objects/characters0002.jpg,image/jpg,98 KB,2025-04-01,,image,,
roof0001,,,"Oliver, ""Ollie"", Lily",My Body A Roof,"The Burren College of Art, Ballyvaughan, IR",2019,one-of-kind,"6 x 8.5 x 0.25""",,"An eleven page artist book comprised of diaristic text, distorted images, and 
pop up structures, chronicaling the artist's experience of a ""meltdown"" over 
the duration of twenty-four hours. From the artist's statement: The images in My 
Body a Roof, reflect moments of ""hysteria"" in the private sanctuaries of everyday 
life, the home, the bedroom, the shower...to trace an episode of ""hysteria,"" I seek 
to portray the alientation and simultaneous sanctuary that women often feel from 
their own bodies during moments of emotional duress. ",photo bookwork; poetry,digital printing; paper cutting; photography,machine-made paper,compound structure; pop-up; soft cover,,religion; architecture; mental health; hysteria; women,artistic work,,/objects/roof0001.jpg,multiple,76 KB,2025-04-01,CC BY-NC,multiple,/objects/small/roof0001.jpg,/objects/thumbs/roof0001.jpg
roof0002,roof0001.jpg,roof0001,,My Body A Roof 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
roof0003,roof0002.jpg,roof0001,,My Body A Roof 2,,,,,,,,,,,,,,,/objects/roof0002.jpg,image/jpg,93 KB,2025-04-01,,image,,
roof0004,roof0003.jpg,roof0001,,My Body A Roof 3,,,,,,,,,,,,,,,/objects/roof0003.jpg,image/jpg,163 KB,2025-04-01,,image,,
film0001,,,"Oliver, ""Ollie"", Lily",Quarantine Film: Irish Studies,"School of the Musuem of Fine Art, Boston, MA",2021,one-of-a-kind,"6 x 8.5 x .075""","136 x 8.5""","Accordion of film photos taken by the artist ranging from 2019 in Ireland, to 2020 
in Maine, Massachusetts, and New Hampshire. Photos are printed on vellum and 
inserted into the structure via cutouts--allowing the prints to be backlit, as a nod 
to the translucency of film negatives. The final pages of the book are designed as 
a wrapper, keeping the entire text block contained. ",photo bookwork; wordless/ visual,digital printing; photography; paper cutting,machine-made paper; plastics,accordion,wrapper,film photography; photography; portrait; landscape,artistic work,,/objects/film0001.jpg,multiple,72 KB,2025-04-01,CC BY-NC,multiple,/objects/small/film0001.jpg,/objects/thumbs/film0001.jpg
film0002,film0001.jpg,film0001,,Quarantine Film: Irish Studies 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
film0003,film0002.jpg,film0001,,Quarantine Film: Irish Studies 2,,,,,,,,,,,,,,,/objects/film0002.jpg,image/jpg,122 KB,2025-04-01,,image,,
film0004,film0003.jpg,film0001,,Quarantine Film: Irish Studies 3,,,,,,,,,,,,,,,/objects/film0003.jpg,image/jpg,132 KB,2025-04-01,,image,,
rounded0001,,,"Oliver, ""Ollie"", Lily",Rounded Case Journal,"Center for the Book, Iowa City, IA",2025,one-of-a-kind,"5.25 x 6.5 x 0.75""",,A multi-signature blank journal made as a structural demo of a rounded case.,blank journal,debossing,binders board; decorative paper; machine-made paper; handmade paper; thread,cased binding; endbands; hard cover; lapped; long stitch,,,book model,,/objects/rounded0001.jpg,multiple,123 KB,2025-04-01,CC BY-NC,multiple,/objects/small/rounded0001.jpg,/objects/thumbs/rounded0001.jpg
rounded0002,rounded0001.jpg,rounded0001,,Rounded Case Journal 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
rounded0003,rounded0002.jpg,rounded0001,,Rounded Case Journal 2,,,,,,,,,,,,,,,/objects/rounded0002.jpg,image/jpg,112 KB,2025-04-01,,image,,
lapped0001,,,"Oliver, ""Ollie"", Lily",Lapped Case Journal,"Center for the Book, Iowa City, IA",2025,one-of-a-kind,"5 x 6.75 x 0.5""",,"A multi-signature blank journal made as a structural demo of a lapped case. Inset 
image on the front was gold foiled by the artist. ",blank journal,debossing; hot stamping,binders board; decorative paper; machine-made paper; handmade paper; gold foil; thread,cased binding; endbands; hard cover; lapped; web-stitch/french sewn,,,book model,,/objects/lapped0001.jpg,multiple,165 KB,2025-04-01,CC BY-NC,multiple,/objects/small/lapped0001.jpg,/objects/thumbs/lapped0001.jpg
lapped0002,lapped0001.jpg,lapped0001,,Lapped Case Journal 1,,,,,,,,,,,,,,,,image/jpg,,,,,,
lapped0003,lapped0002.jpg,lapped0001,,Lapped Case Journal 2,,,,,,,,,,,,,,,/objects/lapped0002.jpg,image/jpg,136 KB,2025-04-01,,image,,
memoryhouse0001,,,"Oliver, ""Ollie"", Lily","Body, Memory House: Basement Version","Somerville, MA",2021,one-of-a-kind,"11 x 8.5 x 2""",,"An artist book rendition of Oliver's debut chapbook Body, Memory House, made of 
loose sheets printed on frosted vellum and bound with magnets. The text is laid out 
spatially over house blue prints, each paragraph corresponding with the room in
which it is set. The first page is a key, providing additional details on certain 
characters and illustrations. From the artist's statement: The text follows the narrator 
through a psychedelic house, confronting a different relationship in each room 
that must be revisited. Body, Memory House articulates the various nuances of 
relationships and hyper-sexuality as a result of trauma, organized in a way which 
mimics the conscious examination of trauma as a means to move past it.

​",multiple-genre,digital printing,book cloth; machine-made paper; magnets; plastics,hard cover; loose sheets,clamshell,architecture; poetry; autofiction; intimacy; friendship; sexual abuse; queer romance;,artistic work,"SMFA Special Collections, School of the Museum of Fine Arts, Tufts University ",/objects/memoryhouse0001.jpg,multiple,156 KB,2025-04-01,CC BY-NC,multiple,/objects/small/memoryhouse0001.jpg,/objects/thumbs/memoryhouse0001.jpg
memoryhouse0002,memoryhouse0001.jpg,memoryhouse0001,,"Body, Memory House: Basement Version 1",,,,,,,,,,,,,,,,image/jpg,,,,,,
memoryhouse0003,memoryhouse0002.jpg,memoryhouse0001,,"Body, Memory House: Basement Version 2",,,,,,,,,,,,,,,/objects/memoryhouse0002.jpg,image/jpg,138 KB,2025-04-01,,image,,
memoryhouse0004,memoryhouse0003.jpg,memoryhouse0001,,"Body, Memory House: Basement Version 3",,,,,,,,,,,,,,,/objects/memoryhouse0003.jpg,image/jpg,229 KB,2025-04-01,,image,,
